id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
1,Maximum Path Sum with K Jumps,"Given a binary tree where each node has an integer value, and an integer K, find if there exists a path from the root to any leaf node such that the sum of the node values along the path, after making exactly K jumps to other nodes in the tree (not necessarily on the path), equals a given target sum. A jump means moving from a current node to any other node in the tree. Return 1 if such a path exists, otherwise return 0.",Hard,2025-03-16T09:50:40.463489+00:00,2025-03-16T09:50:40.463489+00:00,"[{""input"": {""k"": 1, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target_sum"": 7}, ""output"": 1}, {""input"": {""k"": 0, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target_sum"": 4}, ""output"": 0}]","[""-10000 \u2264 target_sum \u2264 10000"", ""0 \u2264 K \u2264 10"", ""-1000 \u2264 Node value \u2264 1000"", ""1 \u2264 Number of nodes in the tree \u2264 1000""]","[{""input"": {""k"": 1, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target_sum"": 7}, ""expected_output"": 1}, {""input"": {""k"": 0, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target_sum"": 4}, ""expected_output"": 0}, {""input"": {""k"": 2, ""tree"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}, ""target_sum"": 31}, ""expected_output"": 1}, {""input"": {""k"": 1, ""tree"": {""val"": 1, ""left"": {""val"": -2, ""left"": null, ""right"": null}, ""right"": {""val"": -3, ""left"": null, ""right"": null}}, ""target_sum"": -4}, ""expected_output"": 0}, {""input"": {""k"": 2, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target_sum"": 8}, ""expected_output"": 1}]"
2,Same Tree Traversal,"Given the pre-order and in-order traversals of a binary tree, determine if the given post-order traversal is valid for the same tree. Return 1 if it is valid, and 0 otherwise. Assume the tree contains unique integer values.",Medium,2025-03-16T09:50:55.447977+00:00,2025-03-16T09:50:55.447977+00:00,"[{""input"": {""inorder"": [4, 2, 5, 1, 6, 3, 7], ""preorder"": [1, 2, 4, 5, 3, 6, 7], ""postorder"": [4, 5, 2, 6, 7, 3, 1]}, ""output"": 1}, {""input"": {""inorder"": [4, 2, 5, 1, 6, 3, 7], ""preorder"": [1, 2, 4, 5, 3, 6, 7], ""postorder"": [4, 2, 5, 6, 7, 3, 1]}, ""output"": 0}]","[""All values in preorder, inorder, and postorder are unique integers."", ""preorder.length == inorder.length == postorder.length"", ""1 \u2264 preorder.length \u2264 1000""]","[{""input"": {""inorder"": [4, 2, 5, 1, 6, 3, 7], ""preorder"": [1, 2, 4, 5, 3, 6, 7], ""postorder"": [4, 5, 2, 6, 7, 3, 1]}, ""expected_output"": 1}, {""input"": {""inorder"": [4, 2, 5, 1, 6, 3, 7], ""preorder"": [1, 2, 4, 5, 3, 6, 7], ""postorder"": [4, 2, 5, 6, 7, 3, 1]}, ""expected_output"": 0}, {""input"": {""inorder"": [2, 1, 3], ""preorder"": [1, 2, 3], ""postorder"": [2, 3, 1]}, ""expected_output"": 0}, {""input"": {""inorder"": [2, 1, 3], ""preorder"": [1, 2, 3], ""postorder"": [2, 1, 3]}, ""expected_output"": 1}, {""input"": {""inorder"": [1], ""preorder"": [1], ""postorder"": [1]}, ""expected_output"": 1}]"
3,Maximum Subarray XOR,"Given an array of non-negative integers, find the maximum XOR value of any contiguous subarray.",Hard,2025-03-16T09:51:08.713152+00:00,2025-03-16T09:51:08.713152+00:00,"[{""input"": {""nums"": [1, 2, 3, 4]}, ""output"": 7}, {""input"": {""nums"": [8, 1, 2, 12]}, ""output"": 15}]","[""0 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 7}, {""input"": {""nums"": [8, 1, 2, 12]}, ""expected_output"": 15}, {""input"": {""nums"": [4, 6, 7]}, ""expected_output"": 7}, {""input"": {""nums"": [1, 5, 6]}, ""expected_output"": 7}, {""input"": {""nums"": [0]}, ""expected_output"": 0}]"
4,Maximum Activities,"You are given n activities with their start and finish times. Select the maximum number of activities that can be performed by a single person, assuming that a person can only work on one activity at a time. Return the maximum number of activities that can be performed.",Medium,2025-03-16T09:51:36.557217+00:00,2025-03-16T09:51:36.557217+00:00,"[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""output"": 3}]","[""0 \u2264 start_time[i] < finish_time[i] \u2264 10^9"", ""1 \u2264 n \u2264 10^5""]","[{""input"": {""start_times"": [1, 3, 0, 5, 8, 5], ""finish_times"": [2, 4, 6, 7, 9, 9]}, ""expected_output"": 4}, {""input"": {""start_times"": [1, 3, 2, 5], ""finish_times"": [2, 4, 3, 6]}, ""expected_output"": 3}, {""input"": {""start_times"": [10, 12, 20], ""finish_times"": [20, 25, 30]}, ""expected_output"": 3}, {""input"": {""start_times"": [1, 2, 3, 4, 5, 6], ""finish_times"": [2, 3, 4, 5, 6, 7]}, ""expected_output"": 6}, {""input"": {""start_times"": [1, 2, 3, 4, 5, 6], ""finish_times"": [7, 8, 9, 10, 11, 12]}, ""expected_output"": 1}]"
5,Coin Change,"Given an array of coin denominations 'coins' and a target amount 'amount', determine the minimum number of coins needed to make up that amount. If the amount cannot be made up by any combination of the coins, return -1.",Medium,2025-03-16T09:51:50.221447+00:00,2025-03-16T09:51:50.221447+00:00,"[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""output"": 3}, {""input"": {""coins"": [2], ""amount"": 3}, ""output"": 2}]","[""0 <= amount <= 10^4"", ""1 <= coins[i] <= 2^31 - 1"", ""1 <= coins.length <= 12""]","[{""input"": {""coins"": [1, 2, 5], ""amount"": 11}, ""expected_output"": 3}, {""input"": {""coins"": [2], ""amount"": 3}, ""expected_output"": 2}, {""input"": {""coins"": [1, 2, 5], ""amount"": 0}, ""expected_output"": 0}, {""input"": {""coins"": [2, 5], ""amount"": 1}, ""expected_output"": -1}, {""input"": {""coins"": [186, 419, 83, 408], ""amount"": 6249}, ""expected_output"": 20}]"
6,Minimum Cost to Connect All Points,"You are given an array points representing integer coordinates of some points on a 2D-plane, where points[i] = [xi, yi]. The cost of connecting two points [xi, yi] and [xj, yj] is the manhattan distance between them: |xi - xj| + |yi - yj|, where |val| denotes the absolute value of val. Return the minimum cost to make all points connected. All points are connected if there is exactly one simple path between any two points.",Hard,2025-03-16T09:52:04.795408+00:00,2025-03-16T09:52:04.795408+00:00,"[{""input"": {""points"": [[0, 0], [2, 2], [3, 10], [5, 2], [7, 0]]}, ""output"": 20}, {""input"": {""points"": [[3, 12], [-2, 5], [-4, 1]]}, ""output"": 18}]","[""-10^6 <= xi, yi <= 10^6"", ""1 <= points.length <= 1000""]","[{""input"": {""points"": [[0, 0], [2, 2], [3, 10], [5, 2], [7, 0]]}, ""expected_output"": 20}, {""input"": {""points"": [[3, 12], [-2, 5], [-4, 1]]}, ""expected_output"": 18}, {""input"": {""points"": [[0, 0], [1, 1], [1, 0]]}, ""expected_output"": 2}, {""input"": {""points"": [[0, 0]]}, ""expected_output"": 0}, {""input"": {""points"": [[-1000000, -1000000], [1000000, 1000000]]}, ""expected_output"": 4000000}]"
7,Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. How many distinct ways can you climb to the top? Return the number of distinct ways modulo 1000000007.,Easy,2025-03-16T09:52:18.340532+00:00,2025-03-16T09:52:18.340532+00:00,"[{""input"": {""n"": 2}, ""output"": 2}, {""input"": {""n"": 3}, ""output"": 3}]","[""1 <= n <= 45""]","[{""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 2}, ""expected_output"": 2}, {""input"": {""n"": 3}, ""expected_output"": 3}, {""input"": {""n"": 4}, ""expected_output"": 5}, {""input"": {""n"": 5}, ""expected_output"": 8}]"
8,Minimum Cost to Merge Stones,"You are given an array of integers stones representing the weight of stones in a row. You can merge exactly K consecutive stones into one stone, and the cost is equal to the total weight of the K stones merged. Return the minimum cost to merge all stones into one stone. If it is impossible, return -1.",Hard,2025-03-16T09:52:32.517939+00:00,2025-03-16T09:52:32.517939+00:00,"[{""input"": {""k"": 2, ""stones"": [3, 2, 4, 1]}, ""output"": 20}, {""input"": {""k"": 3, ""stones"": [3, 2, 4, 1]}, ""output"": -1}]","[""2 <= k <= 30"", ""1 <= stones[i] <= 100"", ""1 <= stones.length <= 30""]","[{""input"": {""k"": 2, ""stones"": [3, 2, 4, 1]}, ""expected_output"": 20}, {""input"": {""k"": 3, ""stones"": [3, 2, 4, 1]}, ""expected_output"": -1}, {""input"": {""k"": 3, ""stones"": [1, 2, 3]}, ""expected_output"": 6}, {""input"": {""k"": 2, ""stones"": [1]}, ""expected_output"": -1}, {""input"": {""k"": 3, ""stones"": [7, 6, 2, 1, 7]}, ""expected_output"": 48}]"
9,Allocate Minimum Number of Pages,"Given an array of integers `pages` representing the number of pages in `n` books, and an integer `k` representing the number of students. You have to allocate books to `k` students such that each student gets at least one book. Each book should be allocated to exactly one student. Allocate books in a contiguous manner. You have to allocate the books such that the maximum number of pages allocated to a student is minimum. Return the minimum possible value of the maximum number of pages allocated to a student. If a valid allocation is not possible, return -1.",Hard,2025-03-16T09:52:47.668891+00:00,2025-03-16T09:52:47.668891+00:00,"[{""input"": {""k"": 2, ""pages"": [10, 20, 30, 40]}, ""output"": 60}, {""input"": {""k"": 1, ""pages"": [10, 20, 30, 40]}, ""output"": 100}]","[""1 <= k <= n"", ""1 <= pages[i] <= 10^5"", ""1 <= n <= 10^5""]","[{""input"": {""k"": 2, ""pages"": [10, 20, 30, 40]}, ""expected_output"": 60}, {""input"": {""k"": 1, ""pages"": [10, 20, 30, 40]}, ""expected_output"": 100}, {""input"": {""k"": 4, ""pages"": [10, 20, 30, 40]}, ""expected_output"": 40}, {""input"": {""k"": 2, ""pages"": [12, 34, 67, 90]}, ""expected_output"": 113}, {""input"": {""k"": 3, ""pages"": [15, 17, 20, 22, 25]}, ""expected_output"": 52}]"
10,Maximum Width of Binary Tree with Null Node Consideration,"Given the root of a binary tree, return the maximum width of the tree. The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes are also counted into the length calculation. It is guaranteed that the width will in the range of 32-bit signed integer.",Hard,2025-03-16T09:53:01.614390+00:00,2025-03-16T09:53:01.614390+00:00,"[{""input"": {""root"": [1, 3, 2, 5, 3, null, 9]}, ""output"": 4}, {""input"": {""root"": [1, 3, 2, 5, null, null, 9, 6, null, 7]}, ""output"": 7}]","[""-100 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [1, 3000].""]","[{""input"": {""root"": [1, 3, 2, 5, 3, null, 9]}, ""expected_output"": 4}, {""input"": {""root"": [1, 3, 2, 5, null, null, 9, 6, null, 7]}, ""expected_output"": 7}, {""input"": {""root"": [1, 3, 2, 5]}, ""expected_output"": 2}, {""input"": {""root"": [1]}, ""expected_output"": 1}, {""input"": {""root"": [1, 2, 3, 4, 5, 6, 7, 8, null, null, null, null, 9, 10]}, ""expected_output"": 8}]"
20,Minimum Cost to Reach Last Cell,"Given a 2D array cost where cost[i][j] denotes the cost of cell (i, j), find the minimum cost to reach the last cell (m-1, n-1) from the first cell (0, 0). You can only move down or right.",Hard,2025-03-16T09:55:40.671977+00:00,2025-03-16T09:55:40.671977+00:00,"[{""input"": {""cost"": [[1, 3, 5, 8], [4, 2, 1, 7], [4, 3, 2, 3]]}, ""output"": 8}, {""input"": {""cost"": [[1, 2, 3], [4, 8, 2], [1, 5, 3]]}, ""output"": 8}]","[""1 \u2264 cost[i][j] \u2264 100"", ""1 \u2264 m, n \u2264 100""]","[{""input"": {""cost"": [[1]]}, ""expected_output"": 1}, {""input"": {""cost"": [[1, 3, 5, 8], [4, 2, 1, 7], [4, 3, 2, 3]]}, ""expected_output"": 8}, {""input"": {""cost"": [[1, 2, 3], [4, 8, 2], [1, 5, 3]]}, ""expected_output"": 8}, {""input"": {""cost"": [[5, 1], [4, 6]]}, ""expected_output"": 10}, {""input"": {""cost"": [[10, 5, 2], [1, 1, 1]]}, ""expected_output"": 8}]"
122,Sum of Powers of Primes,"Given an integer n, determine whether it can be expressed as the sum of distinct powers of primes. Return 1 if it can, and 0 otherwise.",Hard,2025-03-16T16:42:06.018993+00:00,2025-03-16T16:42:06.018993+00:00,"[{""input"": {""n"": 17}, ""output"": 1}, {""input"": {""n"": 6}, ""output"": 1}]","[""1 <= n <= 10^6""]","[{""input"": {""n"": 26}, ""expected_output"": 1}, {""input"": {""n"": 27}, ""expected_output"": 1}, {""input"": {""n"": 22}, ""expected_output"": 1}, {""input"": {""n"": 23}, ""expected_output"": 1}, {""input"": {""n"": 24}, ""expected_output"": 1}, {""input"": {""n"": 25}, ""expected_output"": 1}, {""input"": {""n"": 17}, ""expected_output"": 1}, {""input"": {""n"": 6}, ""expected_output"": 1}, {""input"": {""n"": 10}, ""expected_output"": 1}, {""input"": {""n"": 7}, ""expected_output"": 1}, {""input"": {""n"": 8}, ""expected_output"": 1}, {""input"": {""n"": 13}, ""expected_output"": 1}, {""input"": {""n"": 14}, ""expected_output"": 1}, {""input"": {""n"": 15}, ""expected_output"": 1}, {""input"": {""n"": 16}, ""expected_output"": 1}, {""input"": {""n"": 9}, ""expected_output"": 1}, {""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 5}, ""expected_output"": 1}, {""input"": {""n"": 11}, ""expected_output"": 1}, {""input"": {""n"": 12}, ""expected_output"": 1}, {""input"": {""n"": 20}, ""expected_output"": 1}, {""input"": {""n"": 21}, ""expected_output"": 1}, {""input"": {""n"": 28}, ""expected_output"": 1}, {""input"": {""n"": 29}, ""expected_output"": 1}, {""input"": {""n"": 30}, ""expected_output"": 1}, {""input"": {""n"": 31}, ""expected_output"": 1}, {""input"": {""n"": 32}, ""expected_output"": 1}, {""input"": {""n"": 33}, ""expected_output"": 1}, {""input"": {""n"": 150}, ""expected_output"": 1}, {""input"": {""n"": 1000}, ""expected_output"": 1}, {""input"": {""n"": 999}, ""expected_output"": 1}, {""input"": {""n"": 1000000}, ""expected_output"": 1}]"
11,Minimum Cost to Connect All Cities,"You are given a list of cities represented as points (x, y) on a 2D plane. You are also given a list of roads that already exist between some cities, represented as pairs of city indices and the cost to build a road between them. Your task is to find the minimum cost to connect all the cities such that there is a path between any two cities. You can build new roads between any two cities, and the cost to build a road between cities i and j is the Manhattan distance between them: |x_i - x_j| + |y_i - y_j|. Return the minimum cost to connect all cities. If the cities are already connected, return 0.",Hard,2025-03-16T09:53:16.741846+00:00,2025-03-16T09:53:16.741846+00:00,"[{""input"": {""roads"": [], ""points"": [[0, 0], [1, 1], [1, 0]]}, ""output"": 4}, {""input"": {""roads"": [[0, 1, 1]], ""points"": [[0, 0], [2, 0], [1, 1]]}, ""output"": 3}]","[""1 <= roads[i][2] <= 10^6"", ""0 <= roads[i][0], roads[i][1] < points.length"", ""roads[i].length == 3"", ""0 <= roads.length <= points.length * (points.length - 1) / 2"", ""-10^6 <= points[i][0], points[i][1] <= 10^6"", ""points[i].length == 2"", ""1 <= points.length <= 100""]","[{""input"": {""roads"": [], ""points"": [[0, 0], [1, 1], [1, 0]]}, ""expected_output"": 4}, {""input"": {""roads"": [[0, 1, 1]], ""points"": [[0, 0], [2, 0], [1, 1]]}, ""expected_output"": 3}, {""input"": {""roads"": [[0, 1, 1], [1, 2, 1]], ""points"": [[0, 0], [1, 1], [2, 2]]}, ""expected_output"": 0}, {""input"": {""roads"": [[0, 1, 5]], ""points"": [[0, 0], [1, 1], [2, 2]]}, ""expected_output"": 6}, {""input"": {""roads"": [], ""points"": [[0, 0], [1, 1], [2, 2], [3, 3]]}, ""expected_output"": 9}]"
12,Same Level Sum,"Given a binary tree, determine if the sum of nodes at each level is the same. Return 1 if it is, and 0 otherwise.",Medium,2025-03-16T09:53:33.505277+00:00,2025-03-16T09:53:33.505277+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""output"": 0}]","[""-10^5 <= Node.val <= 10^5"", ""The number of nodes in the tree is in the range [1, 10^4].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}}, ""expected_output"": 1}]"
13,Check if Array Can Be Sorted with One Swap,"Given an array of integers, determine if it can be sorted in ascending order by performing at most one swap operation. Return 1 if it can, otherwise return 0.",Medium,2025-03-16T09:53:47.205072+00:00,2025-03-16T09:53:47.205072+00:00,"[{""input"": {""arr"": [1, 5, 3, 3, 7]}, ""output"": 1}, {""input"": {""arr"": [1, 3, 5, 2, 4]}, ""output"": 0}]","[""-10^9 \u2264 arr[i] \u2264 10^9"", ""1 \u2264 arr.length \u2264 10^5""]","[{""input"": {""arr"": [1, 5, 3, 3, 7]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 3, 5, 2, 4]}, ""expected_output"": 0}, {""input"": {""arr"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 4, 3, 5, 6]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 5, 3, 4, 2]}, ""expected_output"": 0}, {""input"": {""arr"": [10, 20, 30, 40, 50]}, ""expected_output"": 1}]"
14,Path Existence in a Graph,"Given an undirected graph represented as an adjacency list and two nodes, 'start' and 'end', determine if there is a path between 'start' and 'end'. Return 1 if a path exists, and 0 otherwise.",Medium,2025-03-16T09:54:12.231275+00:00,2025-03-16T09:54:12.231275+00:00,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [0, 2], ""2"": [0, 1, 3], ""3"": [2]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0, 2], ""2"": [1]}, ""start"": 0}, ""output"": 1}]","[""0 <= end < number of nodes"", ""0 <= start < number of nodes"", ""The adjacency list will be valid, meaning that if node 'a' has node 'b' in its list, then node 'b' will have node 'a' in its list."", ""The graph will contain at most 100 nodes, labeled from 0 to 99.""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [0, 2], ""2"": [0, 1, 3], ""3"": [2]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0, 2], ""2"": [1]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0]}, ""start"": 0}, ""expected_output"": 0}, {""input"": {""end"": 2, ""graph"": {""0"": [1, 2], ""1"": [0], ""2"": [0]}, ""start"": 1}, ""expected_output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": []}, ""start"": 0}, ""expected_output"": 1}]"
15,Check if Sorted,"Given an array of integers, determine if the array is sorted in non-decreasing order. Return 1 if it is sorted, and 0 otherwise.",Easy,2025-03-16T09:54:25.563198+00:00,2025-03-16T09:54:25.563198+00:00,"[{""input"": {""arr"": [1, 2, 3, 4, 5]}, ""output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""output"": 0}]","[""-1000 <= arr[i] <= 1000"", ""1 <= arr.length <= 100""]","[{""input"": {""arr"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1]}, ""expected_output"": 0}, {""input"": {""arr"": [1, 2, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""arr"": [1]}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 1, 4]}, ""expected_output"": 0}]"
16,Node Existence in Preorder Traversal,"Given a preorder traversal of a binary tree represented as an array of integers, and a target integer, determine if the target integer exists as a node's value in the tree. Assume the tree is constructed implicitly based on the preorder traversal. Return 1 if the target exists, and 0 otherwise.",Easy,2025-03-16T09:54:39.451501+00:00,2025-03-16T09:54:39.451501+00:00,"[{""input"": {""target"": 7, ""preorder"": [10, 5, 2, 1, 7, 12]}, ""output"": 1}, {""input"": {""target"": 6, ""preorder"": [1, 2, 3, 4, 5]}, ""output"": 0}]","[""-1000 \u2264 target \u2264 1000"", ""-1000 \u2264 preorder[i] \u2264 1000"", ""1 \u2264 preorder.length \u2264 100""]","[{""input"": {""target"": 7, ""preorder"": [10, 5, 2, 1, 7, 12]}, ""expected_output"": 1}, {""input"": {""target"": 6, ""preorder"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}, {""input"": {""target"": 1, ""preorder"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""target"": 9, ""preorder"": [5, 3, 1, 4, 7, 6, 8]}, ""expected_output"": 0}, {""input"": {""target"": 100, ""preorder"": [100]}, ""expected_output"": 1}]"
17,Check if Array is Sorted,"Given an array of integers, determine if the array is sorted in non-decreasing order. Return 1 if it is sorted, otherwise return 0.",Easy,2025-03-16T09:54:53.043086+00:00,2025-03-16T09:54:53.043086+00:00,"[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1]}, ""output"": 0}]","[""-100 \u2264 nums[i] \u2264 100"", ""1 \u2264 nums.length \u2264 100""]","[{""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""nums"": [1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 1, 4, 5]}, ""expected_output"": 0}]"
